Lower95,Median,Upper95,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.200,psrf,parameter
2836.70104715021,3330.8528868053,3765.89001550206,3322.90328963071,228.449090040629,3343.48898765484,15.5444122007937,6.8,216,0.586966115002875,1.02789013827455,"Ntot.f[1,1]"
2834.27203075936,3330.53133825999,3763.83000523174,3322.84010686566,228.302511390989,3332.02850183606,15.4667507203119,6.8,218,0.58757502951737,1.02789660564404,"Ntot.f[2,1]"
2824.7449206985,3330.13798359703,3756.71768182418,3322.76389078651,228.37865970496,3339.46941656561,15.6366521590422,6.8,213,0.587412634766369,1.02796664337052,"Ntot.f[3,1]"
2840.48187793104,3282.64548469357,3703.968572132,3279.86486826699,215.727812872056,3282.96477158622,11.7493975890982,5.4,337,0.525729959990723,1.02383910304151,"Ntot.f[1,2]"
3017.01264377858,3431.61599541326,3834.381594058,3434.46311908604,206.879559403849,3423.73227829729,8.48805582178152,4.1,594,0.43228407421852,1.01380952618854,"Ntot.f[2,2]"
2784.41489792046,3243.05654912457,3645.5210790369,3240.039648386,214.722262827316,3252.06353705424,11.4446791173052,5.3,352,0.531482081769494,1.02439082391738,"Ntot.f[3,2]"
2834.56192303858,3263.12615674002,3700.12406688948,3261.26666296393,217.162592048783,3269.42402974363,10.1247696759199,4.7,460,0.494123170967606,1.01915233115785,"Ntot.f[1,3]"
3145.84732037483,3577.16712470164,4010.71829347055,3582.18294410888,220.158049702742,3567.33748506494,7.64293474490667,3.5,830,0.375591473286641,1.00537392350632,"Ntot.f[2,3]"
2716.7061578359,3162.9194784431,3576.52245865807,3161.60981077447,214.714848028983,3160.61087584627,10.6346241523389,5,408,0.506488805249346,1.02040739006754,"Ntot.f[3,3]"
2783.17235361901,3240.11349525884,3662.31940549076,3240.43463928867,221.957916870565,3239.78581265864,9.55951994419294,4.3,539,0.465322382278579,1.01448317800752,"Ntot.f[1,4]"
3178.19502965472,3630.36352670672,4109.80649589008,3636.12432055178,236.594577551191,3622.96202923191,7.99310513478994,3.4,876,0.370382204528263,1.00410523579992,"Ntot.f[2,4]"
2613.30226813311,3062.0294026372,3474.24508444334,3061.91605078354,215.982395395716,3066.85524651359,9.82310613214501,4.5,483,0.482525825926193,1.01660353371552,"Ntot.f[3,4]"
2777.0411505284,3219.44809373033,3685.76581664818,3222.95306530963,230.955703544691,3209.43273033005,9.00297578478806,3.9,658,0.446367329134732,1.01068447483604,"Ntot.f[1,5]"
3227.90179734247,3728.81467684642,4262.92674472317,3734.87960502934,263.753134605861,3698.20266715063,8.89073529025208,3.4,880,0.368661106477818,1.00194701352271,"Ntot.f[2,5]"
2502.24171882445,2946.8545028655,3370.68215623644,2948.44385955347,219.413009724974,2938.6718901638,9.54552973933726,4.4,528,0.466422184773492,1.0129197159112,"Ntot.f[3,5]"
2731.08850923827,3201.15395720042,3684.78209672008,3205.95874612864,243.272316162607,3189.3548074388,9.28373895733481,3.8,687,0.436880704947478,1.00770787045419,"Ntot.f[1,6]"
3259.65985532428,3803.46950967859,4405.97442702162,3810.35932582122,293.06426271366,3796.06962636907,10.2754283009651,3.5,813,0.385976664226067,1.0016762649989,"Ntot.f[2,6]"
2382.4366484662,2818.1715084138,3267.60759421048,2820.59529667337,224.238379811562,2824.65373602896,9.04708838875278,4,614,0.457662834952098,1.01036871524741,"Ntot.f[3,6]"
2698.41504350081,3184.67727781248,3712.84808661593,3190.3958064274,258.363983235878,3175.53794667019,9.56822575009714,3.7,729,0.433792066827389,1.00574324126368,"Ntot.f[1,7]"
3253.0956484123,3889.83877094705,4545.07415383693,3898.19470399244,330.363979176534,3888.83318893443,12.238390517463,3.7,729,0.41013412825387,1.00129752936292,"Ntot.f[2,7]"
2233.8269516235,2678.3491936968,3130.84971777852,2681.85697221964,228.661617432753,2669.294109022,9.17861277855728,4,621,0.453734656793134,1.00821038699635,"Ntot.f[3,7]"
2642.93332725103,3167.86706076122,3721.88512221663,3175.13588240675,275.49596795389,3147.50690726017,10.2399344759525,3.7,724,0.435377195023351,1.00436998693774,"Ntot.f[1,8]"
3282.04541021994,3968.04821689655,4725.41022820256,3979.68455069517,370.231978203345,3956.80178133607,14.5189483283026,3.9,650,0.43496873334905,1.00113135655744,"Ntot.f[2,8]"
2092.74926117421,2530.05304780097,3002.95791115873,2533.85315519643,232.629753515359,2521.58338316599,9.31064058055123,4,624,0.451527302610062,1.00648471588301,"Ntot.f[3,8]"
2612.43319807922,3152.35100822821,3760.79374509847,3160.7391549102,294.069905094839,3138.50828689936,11.3200094227693,3.8,675,0.439723361740499,1.00360720042921,"Ntot.f[1,9]"
3243.00894990056,4049.79180121662,4863.23220142189,4065.85822512578,415.620442936924,4026.39360065833,17.3201076725018,4.2,576,0.461243410346972,1.00106179867693,"Ntot.f[2,9]"
1931.76129709196,2374.73672177963,2852.41877653552,2379.88873019501,235.262450489045,2361.8559535914,9.52893119366157,4.1,610,0.451883266066193,1.00443779895906,"Ntot.f[3,9]"
2560.47344354203,3136.80613702144,3789.01755898369,3146.81663861162,314.09042469217,3141.58668999871,12.24064107619,3.9,658,0.446276545643944,1.00298049203762,"Ntot.f[1,10]"
3248.90137798272,4131.1300046225,5046.85499543486,4150.92974004823,462.736045053663,4086.8402462072,20.768693287899,4.5,496,0.484696964713048,1.00097437026682,"Ntot.f[2,10]"
1771.00357644438,2215.5108489025,2695.52976640481,2221.97464750058,236.358855658601,2196.65931983214,9.95497575357554,4.2,564,0.452961269664266,1.00385404742535,"Ntot.f[3,10]"
2511.02962392915,3122.19930128661,3821.30734897358,3133.03686435415,334.830009598757,3119.67992880593,13.4271254717774,4,622,0.452745710474104,1.00241063337967,"Ntot.f[1,11]"
3270.23850923398,4212.7773078894,5247.74228410485,4238.0542599365,512.296053506977,4167.0321421983,24.1861174323464,4.7,449,0.505718797765248,1.00083573198036,"Ntot.f[2,11]"
1625.97455729389,2068.52612609947,2548.77404879303,2075.56587965817,236.512025218472,2051.18361361316,9.68903063724891,4.1,596,0.452247176295717,1.00316332846665,"Ntot.f[3,11]"
2453.2560628224,3107.44114942658,3844.35040132175,3119.8738087523,356.440634505561,3094.54591155154,14.5096358029066,4.1,603,0.459744554619857,1.00210032203285,"Ntot.f[1,12]"
3283.82185914045,4296.94432924177,5448.74844503141,4325.0570508438,562.145793583315,4233.83265622882,27.9430711727026,5,405,0.523713468068672,1.00070996555778,"Ntot.f[2,12]"
